Number;Number_extra;Count;Year;Editor;Image_src;Pages;Size;Link;Notes;Title
1;;1;1990;Kivelä, Pertti;;28;A5;;Alienistin ensimmäinen numero. Kansi: Kimmo Isokoski. Taitto: Otto Mäkelä, Pertti Kivelä.;#42
2;;2;1990;Kivelä, Pertti;;36;A5;;Kansi: Pekka A. Manninen. Taitto: Otto Mäkelä, Pertti Kivelä.;The Return of #42
1;;3;1991;Kivelä, Pertti;;20;A4;;Kansi: Kimmo Isokoski. Taitto: Otto Mäkelä, Pertti Kivelä.;The Revenge of #42
1;;4;1992;Mäkelä, Otto;;24;A4;;"Kansi: Juha ""Sid-Sid"" Keränen. Taitto: SidSid Keränen";The Bride of #42
2;;5;1992;Mäkelä, Otto;;28;A4;;Kansi: Jukka Murtosaari. Taitto: SidSid Keränen.;The Son of #42
3;;6;1992;Mäkelä, Otto;;28;A4;;Kansi: Reed Waller. Taitto: SidSid Keränen.;Mum-in-law? of #42
1;;7;1993;Mäkelä, Otto;;24;A4;;"Kansi: Juha ""Sid-Sid"" Keränen. Taitto: SidSid Keränen";Daughters of #42
1;;8;1994;Mäkelä, Otto;;24;A4;;Kansi: Phil Foglio. Taitto: SidSid Keränen.;The Hound of #42
1;;9;1995;Pohjonen, Risto;;40;A4;;"Alienisti-Kosmoskynä-yhteistyönumero. Kansi: Juha ""Sid-Sid"" Keränen & Risto Pohjonen. Taitto: SidSid Keränen.";The Left Hand of #42
1;;10;1999;Vainikainen, Jussi & Pohjonen, Risto;;24;A4;;Kansi: Risto Pohjonen. Taitto: Risto Pohjonen.;The Anniversary of #42
1;;11;2000;Vainikainen, Jussi;;24;A4;;Kansi: Michael Wogelmut. Taitto: Risto Pohjonen.;Danse Macabre of #42
1;;12;2001;Vainikainen, Jussi;;32;A4;;Kansi: Risto Pohjonen. Taitto: Risto Pohjonen.;For the Absent Friends of #42
1;;13;2002;Jukkala, Jouni;;24;A4;;Kansi: Risto Pohjonen. Taitto: Risto Pohjonen.;The Unlucky Number of #42
1;;14;2003;Jukkala, Jouni;;24;A4;;Kansi: Jenny Kangasvuo. Taitto: Risto Pohjonen.;The Full Moon of #42
1;;15;2004;Vainikainen, Jussi;;32;A4;;Kansi: Kimmo Isokoski. Taitto: Risto Pohjonen. ;Fool's Errand of #42
2;;16;2004;Vainikainen, Jussi;;36;A4;;Liitteenä Finncon-lautapeli. Kansi: Olli Hihnala. Taitto: Risto Pohjonen.;Merry Xmas of #42
1;;17;2005;Mäki-Kuutti, Kati;;20;B5;;Kansi: Kati Mäki-Kuutti. Taitto: Risto Pohjonen.;Finndom Promotion of #42
2;;18;2005;Mäki-Kuutti, Kati;;32;B5;;Kansi: Tessa Suhonen. Taitto: Risto Pohjonen.;The Trial of #42
1;;19;2006;Mäki-Kuutti, Kati;;24;B5;;Kansi: Tuuli Hypén. Taitto: Risto Pohjonen. ;The Long, Dark Tea Time of #42
1;;20;2008;Clements, Kati;;36;B5;;"Kansi: Niko Hirsjärvi (piirros), Kati Clements (valokuva); Jussi Vainikainen. Taitto: Jussi Vainikainen";Robots of #42
2;;21;2008;Umpilampi, Impi I. & Ainonen, Lempi (Sex);;24;B5;;Kansi: Pekka A. Manninen. Taitto: Jussi Vainikainen.;The Very Special Alien Publication for the Very Special Ladies and Gentlemen of #42
1;;22;2009;Clements, Kati;;28;B5;;Kansi: Kati Clements. Taitto: Jussi Vainikainen.;Starbucks of #42
2;;23;2009;de Bovin, Rosebud;;40;B5;;Kansi: Jussi Vainikainen. Taitto: Carl Cthulhu.;Multiple Parallel Alternate Histories of #42
1;;24;2010;de Bovin, Rosebud;;40;B5;;Kansi: Tyler Olson. Taitto: Jussi Vainikainen.;Disobedient Ladies of #42
2;;25;2010;Leinonen, Anne;;28;B5;;Alienisti-Kosmoskymä-yhteistyönumero. Kansi: Kirsty Pargeter. Taitto: Jussi Vainikainen.;Poets of #42
1;;26;2011;de Bovin, Rosebud;;32;B5;;Kansi: SidSid Keränen. Taitto: Jussi Vainikainen.;Haad of #42
2;;27;2011;de Bovin, Rosebud;;44;B5;;Kansi: SidSid Keränen. Taitto: Jussi Vainikainen.;The Double Feature of #42
1;;28;2012;de Bovin, Rosebud;;52;B5;;Kansi: Siiri Liitiä. Taitto: Jussi Vainikainen.;True Blood of #42
2;;29;2012;de Bovin, Rosebud;;32;B5;;Kansi: Kimmo Isokoski. Taitto: Jussi Vainikainen.;Seduction of the Innocent of #42
1;;30;2013;Ranta, Lasse;;28;B5;;Kansi: Abidal. Taitto: Jussi Vainikainen.;#42 Is Made of People
2;;31;2013;Ranta, Lasse;;40;B5;;Kansi: Jussi Vainikainen. Taitto: Jussi Vainikainen.;The Brain from Planet #42
1;;32;2014;Ranta, Lasse;;40;B5;;Kansi: Rainbowchaser. Taitto: Jussi Vainikainen.;The Granfalloon of #42
2;;33;2014;Ranta, Lasse;;44;B5;;Kansi: Dodan22. Taitto: Jussi Vainikainen.;Fission Product of #42
1;;34;2015;Ranta, Lasse;;28;B5;;Kansi: Martine De Graaf. Taitto: Jussi Vainikainen.;Refugees of #42
1;;35;2016;de Bovin, Rosebud;;28;B5;;Kansi: Pekka A. Manninen. Taitto: Maya Hahto.;Lorem Ipsum est la Linqua del #42
2;;36;2016;Ranta, Lasse;;36;B5;;Kansi: Neosiam. Taitto: Jussi Vainikainen.;The Secret Archives of #42
1;;37;2017;Ranta, Lasse;;36;B5;;Kansi: Irma Hirsjärvi. Taitto: Jussi Vainikainen.;Brave New world of #42
1;;38;2018;Ranta, Lasse;;40;B5;;Kansi: Jussi ja Ipa. Taitto: Jussi Vainikainen.;Raiders of the Lost #42
1;;39;2019;de Bovin, Rosebud;;36;B5;;Kansi: Jussi Vainikainen. Taitto: Jussi Vainikainen.;Monsters of #42
2;;40;2019;de Bovin, Rosebud;;36;B5;;Kansi: SidSid Keränen. Taitto: Jussi Vainikainen.;Go Home, Martians of #42
1;;41;2020;Annala, Riia;;44;B5;;Kansi: Riia Annala. Taitto: Jussi Vainikainen;Halftones of #42
2;;42;2020;Annala, Riia;;40;B5;;Kansi: Kimmo Isokoski. Taitto Jussi Vainikainen;The Second Coming of #42
